Betting Agency,Home Team,Away Team,Win,Draw,Loss,Date Refreshed,,,,,,,,
UniBet (NT),Tottenham,Aston Villa,1.9,4,3.55,Thu Oct 24 20:17,,,,,,,,
Sportsbet (NT),Tottenham,Aston Villa,1.85,4.2,3.5,Thu Oct 24 20:41,,,,,,,,
BetsAPI,Tottenham,Aston Villa,1.83,4.1,3.6,Thu Oct 24 20:51,,,,,,,,
BetR (NT),Tottenham,Aston Villa,1.85,4,3.6,Thu Oct 24 20:27,,,,,,,,
TAB Sportsbet (NSW),Tottenham,Aston Villa,1.8,3.8,3.4,Thu Oct 24 20:32,,,,,,,,
"BetFair -5% (UK,Aus)",Man United,Chelsea,2.65,3.66,2.46,Thu Oct 24 20:32,,,,,,,,
Sportsbet (NT),Man United,Chelsea,2.45,3.75,2.62,Thu Oct 24 20:17,,,,,,,,
UniBet (NT),Man United,Chelsea,2.5,3.7,2.55,Thu Oct 24 20:17,,,,,,,,
BetsAPI,Man United,Chelsea,2.6,3.5,2.55,Thu Oct 24 20:19,,,,,,,,
BetR (NT),Man United,Chelsea,2.5,3.7,2.5,Thu Oct 24 20:34,,,,,,,,
TAB Sportsbet (NSW),Man United,Chelsea,2.5,3.5,2.4,Thu Oct 24 20:29,,,,,,,,
Sportsbet (NT),Fulham,Brentford,2.1,3.6,3.4,Thu Oct 24 20:41,,,,,,,,
UniBet (NT),Fulham,Brentford,2.04,3.45,3.6,Thu Oct 24 20:17,,,,,,,,
BetR (NT),Fulham,Brentford,2.05,3.5,3.4,Thu Oct 24 20:34,,,,,,,,
BetsAPI,Fulham,Brentford,2.1,3.5,3.25,Thu Oct 24 20:51,,,,,,,,
TAB Sportsbet (NSW),Fulham,Brentford,2.05,3.3,3.25,Thu Oct 24 20:22,,,,,,,,
"BetFair -5% (UK,Aus)",Fulham,Brentford,1.95,3.33,3.14,Thu Oct 24 20:02,,,,,,,,
